,Unnamed: 0,Price,Vulgewicht wassen,Volume centrifugeren,Aantal programma’s,Fabrieksgarantie,Energieverbruik per 100 cycli,Aantal toeren per minuut (nominale capaciteit),Programmaduur wassen,size,all_properties,Type apparaat_Was-droogcombinatie,Type apparaat_Wasmachine,Type belading_Voorlader,Trommelmateriaal_Kunststof,Kleur (basic)_Wit,Kleur (basic)_Zwart,Energie-efficiëntieklasse (EU 2017/1369)_B,Energie-efficiëntieklasse (EU 2017/1369)_C,Energie-efficiëntieklasse (EU 2017/1369)_D,Energie-efficiëntieklasse (EU 2017/1369)_E,Energie-efficiëntieklasse (EU 2017/1369)_F,Brand_BEKO,Brand_BOSCH,Brand_EVERGLADES,Brand_HAIER,Brand_INVENTUM,Brand_KOENIC,Brand_LG,Brand_MIELE,Brand_OK.,Brand_SAMSUNG,Brand_SHARP,Brand_SIEMENS,Brand_WHIRLPOOL
18,18.0,899.0,9.0,76.0,10.0,2.0,49.0,1600.0,220.0,319070.829,10.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,1149.0,9.0,72.0,23.0,2.0,77.22394207099646,1600.0,210.0,306000.0,15.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,20.0,499.0,8.0,70.0,14.0,2.0,55.0,1300.0,218.0,294147.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21.0,699.0,8.0,76.0,10.0,2.0,49.019712704331596,1600.0,210.0,276922.03200000006,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22.0,819.0,9.0,76.0,11.0,2.0,49.0,1600.0,220.0,319070.829,10.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23.0,479.0,7.0,75.0,23.1279055933794,2.0,69.0,1400.0,200.0,278907.2,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,24.0,699.0,9.0,71.0,15.0,2.0,66.9651660541615,1400.0,217.0,298132.89999999997,12.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,25.0,749.0,8.0,72.0,24.0,2.0,69.64091783140056,1400.0,210.0,320400.0,9.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,26.0,769.0,10.0,72.0,24.0,2.0,82.31374551682313,1400.0,210.0,320400.0,9.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,27.0,1099.0,6.0,70.0,21.0,2.0,55.0,1200.0,189.0,248273.1,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,28.0,719.0,10.0,72.0,22.0,2.0,68.17708406294419,1400.0,210.0,306000.0,12.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,29.0,399.0,7.0,73.0,15.0,2.0,72.00331305593625,1400.0,210.0,277200.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30.0,1249.0,9.0,68.0,23.0,2.0,49.0,1400.0,209.0,322197.60000000003,12.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,31.0,458.0,8.0,72.0,15.0,2.0,47.0,1400.0,210.0,297360.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32.0,699.0,9.0,76.0,10.0,2.0,49.0,1400.0,220.0,306000.0,9.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33.0,549.0,9.0,72.0,14.0,2.0,72.9311263371307,1400.0,210.0,280500.0,11.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,34.0,849.0,7.0,72.0,12.0,2.0,51.0,1400.0,199.0,322197.60000000003,9.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,35.0,479.0,7.0,72.0,14.0,2.0,45.58737572877222,1400.0,210.0,280500.0,11.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,36.0,822.0,10.0,72.0,22.0,2.0,61.788089575350284,1400.0,210.0,306000.0,12.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
